 Produção Ambulatorial do SUS - Rio Grande do Sul - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Município: 430300 Cachoeira do Sul
Documento registro: ..APAC - Procedimento Principal
Período:Jan-Jul/2022
"Procedimento";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"Total"
"0304020010 QUIMIOTERAPIA DO ADENOCARCINOMA DE COLON AVANCADO -1¶¦ LINHA";9;10;9;8;3;5;5;49
"0304020028 QUIMIOTERAPIA DO ADENOCARCINOMA DE COLON AVANCADO - 2¶¦ LINHA";3;3;2;3;3;3;3;20
"0304020044 QUIMIOTERAPIA DO ADENOCARCINOMA DE ESTOMAGO AVANCADO";3;2;3;3;4;4;5;24
"0304020052 QUIMIOTERAPIA DO ADENOCARCINOMA DE PANCREAS AVANCADO";3;4;4;4;3;2;2;22
"0304020060 HORMONIOTERAPIA DO ADENOCARCINOMA DE PROSTATA AVANCADO - 2¶¦ LINHA";18;18;17;18;18;18;16;123
"0304020079 HORMONIOTERAPIA DO ADENOCARCINOMA DE PROSTATA AVANCADO - 1¶¦ LINHA";59;59;64;62;65;61;62;432
"0304020087 QUIMIOTERAPIA DO ADENOCARCINOMA DE PROSTATA RESISTENTE A HORMONIOTERAPIA";2;3;4;4;4;3;2;22
"0304020095 QUIMIOTERAPIA DO CARCINOMA DE RETO AVANCADO -1¶¦ LINHA";6;4;5;6;5;6;5;37
"0304020109 QUIMIOTERAPIA DO CARCINOMA DE RETO AVANCADO - 2¶¦ LINHA";-;-;2;4;3;3;3;15
"0304020133 QUIMIOTERAPIA DO CARCINOMA DE MAMA AVANCADO -1¶¦ LINHA";3;3;3;3;5;5;7;29
"0304020141 QUIMIOTERAPIA DO CARCINOMA DE MAMA AVANCADO - 2¶¦ LINHA";7;6;3;6;7;7;6;42
"0304020176 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE / ADENOCARCINOMA DE ESOFAGO AVANCADO";1;1;1;1;1;2;2;9
"0304020184 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE / ADENOCARCINOMA DO COLO OU DO CORPO UTERINO AVANCADO";3;4;3;3;6;7;5;31
"0304020206 QUIMIOTERAPIA DO CARCINOMA EPIDERMOIDE DE CABECA E PESCOCO AVANCADO";2;1;1;1;-;-;-;5
